solanaAddress,allocation
GWigTJFXHZyCbGALaoJJnH9XM97TYojnQHJQ7foMaA6z,3000,
9PUwvAFAornYp1A48cG7RTaqjouWrEYYXXULVwRpu63L,3000,
4tinsvDTGRhuNVVLSxoPMJHAHjq1YGw2FUwGjtyHf3TS,3000,
D3PftbxLkLfMVhjswncg6ApFHAFEXapS6PvHf9uf8K8c,3000,
Bm3kDw26jDNR1923cRSN7VUB4ypa9h3PLLzn7C3exyTh,3000,
HxuJiPnGwLftRWAaeDW1npvLFeLuaQMQvget1s2qtCMP,3000,
4Dxi864rjXW1Zh5csWqbx9M51Ywjdcvh49F3JMbuP1We,3000,
2So6P3pWg9AgDacD4NrDDtTovzugHkZi5JLx88UK8APT,3000,
GzdaFMHY9z6osFLYeDRRqoSoJ9pZbwkCjrEPEqRbMYnL,3000,
EnvMojqRw1Q2FnfJyR1U9diqAyD1yk4hBEC3MKNa81Tv,3000,
GZeEFdZaweuhLHKzkAmkpxg4ZzrKUf81ejMybSRxKQUf,3000,
8YS7jveydUkep3AfQs21dJPzvC8nbXgfqpAGaHnuYPso,3000,
GzvumfxCsC5F23AB4jjwQx1wYG1DNux6qqNyaoaq23kf,3000,
4WFbgP1XBLf6L1wy9L93krLRL8Kmh3mR6xssog2LuFgT,3000,
HMPGNsnQ9iaPtycE6FZ2AAkvC9cVPyGN3FWCUB4yo4qK,3000,
5C4MSDfTDsh3Td5Tj29eaNt2CwPYqdCNL1ANdrjFxFU3,3000,
Gur9QLjVWfUwN6WheNEKmch6Zq7sgwPuMNL8K5JmQoFM,3000,
8sTFQjsT2JqLHJhLa59HHdxpkuRvNmeG3rz8LxYKE5vv,3000,
4bJsfyuZkiUcLVdZXefgqzsAkSpMYpqnTGzaUoCRT8ZR,3000,
72BrcGEiQBcurJLtQo2uofEtVcrodDFwhdAadN8sTyvd,3000,
7UwkUkn224WduTCBWRg4NZpyGj5PZy884tDq75HKYzDv,3000,
AuVd9WZhe4T5pQe9bQ7GmDdqTBSgyn5UkFs3hfwkQiwB,3000,
CjxFFFKjHda699PRuGPYTjHrkhGZXYb7BJ2p4zHQE1K7,3000,
CsKPBHvm4VNNeSbyJZhcnHr9wMQXSKgtNPvjgoFbeuLA,3000,
2Z2G6mD5ZFEtqYRSrSn2fkSpE4za5yaewWNezjcadnnq,3000,
GS9d9JmXMVeXg9qjmQn5hFKmVe7CDNSy9r6vUrH9BVXk,3000,
BZKC595v2o94d99u68iEgEoyjwpBd5mRUVziJ52p1n2N,3000,
HWXhKoBsuMbb5FL9QrKe31nfewvsXCDz7PS1PzUwjpF,3000,
B6xhFcJVLBHTc8gu86onw5ac4sChWHUTkdVNfUihSfzy,3000,
HsAnTqw1GjozcuvzUyAWvDLp9YPBYbkaEGbwKN53PzpK,3000,
7UtGXbwcM7FaAAfGgC1EWYLr4GRkApoociiQoHbpfr3b,3000,
8E3oiYFu7num2ovVcYEU5m8eyWNgJdrQ1A9K1vVwhkJz,3000,
GF92ekoFAokBE6fUniTkq2aaZYDw3AoW8a6zECS4CyxX,3000,
4oA4XUwv2wBkUroak492X4Pwrt5jBQK86ErZJWugAbuD,3000,
HHygqQXjC8nNusED2MaTW6uywxsCxkEWaAttnNSf7MjL,3000,
F6Ktmhgett6V1zWqc6z55aer4PMb3fkRnSYYNjwsi8hE,3000,
7VzsUqBeS4kHF6rUTojxjEZdsFQx5sBngL8FrhiMYYCX,3000,
25zzHRBxxQeAwp53LUXiRT8WTkqFqUt5nm23r9B1JvgV,3000,
2x4omRgcoPPSVC8pguArt6EqfMmt9BVrBzFeU9iWafGV,3000,
Gprbk8uvv9va9pYPkYuKVrzHegmGng6ewxCwPJaytLTu,3000,
CdH9qKCJNiKCWnUVjP4oaK4ZL7eAX8ifBLVDnZeVbmv6,3000,
FWEVefLe8YzQQgwxD1PUDCnoA1QEnhQRwCa33ExDhzwR,3000,
8e6kKci6SUqWJX7UrUdG3Mq8wXFAkku3zvddraZpwvt4,3000,
BBgpQ77N4y6bxvxxcur1xL9u6QaeYSiPEzbjQ3siajKM,3000,
7dhiuyRtPeiTZxpFhcyrAhDsHf4KxtdvgAKodpAqbmwk,3000,
3pmuDaPJQkATi4XCaFbgJdw3NvTnXAwNfCXAmTcySZni,3000,
5azernf9dGYEkGJkMMdSGSzXZu6W78NbvuWAqnMPQTat,3000,
2ye6kjzjGymg4ZuzxM7kR6hbw9K4kHYGY4BufzwJ5ece,3000,
H7EWiPfgaDx7rSXEBwCkfutUaoYZsh5kxf8C8trUkyM6,3000,
D3g5CoXvB5Z66yjc3pvrWgX9ATojRMsxmFHvp9dihpvD,3000,
Ho7BSbkxP1TYwDh5nTq9wJxJmMVkc5VPhcQagU6Wb5uL,3000,
4owRHyLBABrs3mCktfw9LDAtzfweiWKuLTBbY1f9dBtv,3000,
C7faTHdsud78rWLQfs6XJbasVvHLYK6tQioeRo4sSJmL,3000,
3gfy9fQp2fNP9pAphkjnmAjvQPZEF1N5DagDr6VgXYa9,3000,
Aue2a5Re44WzASzGxny8j1t6viyajthfbAnPYFHN92i5,3000,
75Xay7MrKsYeTHGrwVR5dAWdo6935RE8unaYnPyvxxS5,3000,
By7NyyAbjJtDRJfhxUXX1XgoZcu27ucABYWdaXhDZW8r,3000,
4WyJ2vZrYso7aqQypZUf6APXn2yUR4T88oXY62vR71MJ,3000,
Hen2jTijEPDjkvPgKvvxpjnUqSguVKwc1q8YQ4usPiM8,3000,
6ZmLv1dt8kD7458PKaF1KVKkrUsn7UHPMdyAcRxqmN2J,3000,
JuJkmZCDKEHEdrj1GcjYJNgS52mShcFs9nVLAJ3Hrdw,3000,
3pqBVyob7CKeE28EKgNYpJ7uLbuYDe2xEJJwcGVsYcG1,3000,
7Tz391iehkUDDhnS4uRoG5LHyBbEzKRQNp8UaTm7ueeN,3000,
6Aa5UCosF6FW8fxpYm2TGrBf39kKDgwoFnJmsbRbGdsZ,3000,
BX1Yg3xEUUXw5Lvuc1RUMpuyfxW7gsD1bx6a57L5wt9C,3000,
8t59hPhhFoxVZW6L31tR6YjqHseV5iQroa23c2PkSQny,3000,
FDsmUJWbaaVmt9usQGHJecqMZNmsuJhvjPrBVEjKWt6b,3000,
H3vpe8yCXE4yufGfuEppByw4zcJRqEbecjCNS5N2phAK,3000,
5egkqRDRLbVBQFe94NEFAaK2VdHNdnYg4YAZN4Fx748Y,3000,
9fQ8G21bdGE3DvcwVeHSK5RkdudhFsBqQTEgi4vVB8ko,3000,
ERoGzHhsBAAqMtkkJPdUYSLR65CK1stQ6T4hZTCy2QxU,3000,
EHi1UBG8wMUFZECktsFUZkGjJPaBNEedswS62hyYn6jC,3000,
HFxLrs8EFp1gyWEAnyRhuadvS1dR3hCGBj4n3j3BigAu,3000,
GR6Y5LYjtpuMMNJCkEx6Z13W5q7EyQtoLtZbGEgCrekP,3000,
8MVGpKr1im4PZNwvG3bj8tHbcucT3LKjVs5EVqAGwGJy,3000,
Cqi7MKBRXNbQhRjK91oQ3bFQTgF5wYPPxft1d3McvVqx,3000,
8pRQN19329KGEGMb3i6mCDfACYPjFDpoPDFpuNA842is,3000,
5yja7ZYLtsgN7wG57AgiRJY72BqCukzxUHKnrztM9nvN,3000,
7T4dawij4MspTKyxVcVbqvVM3NHzSnCMUt8RfXEoEBEn,3000,
211i79jN1D3hp7M21xh8qbTVK2Ln92AoJHp5FPiFHjcd,3000,
9gtw5gddXs86oyJjVhiSqrhZu4PdmNi8gSJ1dpJJdHeZ,3000,
6y722uBEGca284S8LWsp2dF7UmXV621fZTttXwjWxaf5,3000,
5gYsD4TertfbwVzUxWeCbHGG2zb24i3qQzykswNAxkK8,3000,
7x6aCLVPwuxANFi8JT5Bh8pLZbPySkd8SLaR9P9R8yFC,3000,
86JcTtyJm15QnkiikW9VPuiW6ZKYocCRvzoZru4hgUwk,3000,
